,IT・科学,おもしろ,エンタメ,グルメ,コラム,スポーツ,国内,海外
1,0.0024390243902439024,0.0024813895781637717,0.004878048780487805,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
100,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.005063291139240506,0.0025380710659898475,0.0025
11,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.004962779156327543,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
12,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0049504950495049506,0.002531645569620253,0.0025380710659898475,0.0025
19,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.005063291139240506,0.0025380710659898475,0.0025
2,0.0024390243902439024,0.0024813895781637717,0.004878048780487805,0.0024813895781637717,0.0024752475247524753,0.005063291139240506,0.0025380710659898475,0.0025
20,0.0024390243902439024,0.004962779156327543,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
2017,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
250,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.005063291139240506,0.0025380710659898475,0.0025
3,0.0024390243902439024,0.004962779156327543,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
30,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.004962779156327543,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
300,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
4,0.0024390243902439024,0.0024813895781637717,0.004878048780487805,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
5,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0049504950495049506,0.002531645569620253,0.0025380710659898475,0.0025
51,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.005076142131979695,0.0025
60,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.005063291139240506,0.0025380710659898475,0.0025
69,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
7,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0049504950495049506,0.002531645569620253,0.0025380710659898475,0.0025
75,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.005
8,0.0024390243902439024,0.004962779156327543,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.005
800,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.005
android,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
bd,0.0024390243902439024,0.0024813895781637717,0.004878048780487805,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
cpu,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
creative,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
df,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.005063291139240506,0.0025380710659898475,0.0025
facebook,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
gpu,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
hifiman,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
hub,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
ios,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
juju,0.0024390243902439024,0.0024813895781637717,0.004878048780487805,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
luke's,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.004962779156327543,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
megamini,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
microsoft,0.007317073170731708,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
mobile,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
pc,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
pixel,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
